feature,display,category,gain,gain_pct
h3_mean_count,区域历史均值,统计编码特征,3612.262451171875,44.85086713142658
rolling_mean_48,48小时滚动均值,历史订单特征,532.216796875,6.608153522734803
rolling_mean_3,3小时滚动均值,历史订单特征,478.0333251953125,5.935396290425535
lag_168,前一周同小时,历史订单特征,192.1918029785156,2.3863075110564753
hour_mean_count,小时历史均值,统计编码特征,178.2252960205078,2.212895430308983
rolling_mean_24,24小时滚动均值,历史订单特征,141.75491333007812,1.7600688955841635
parent_mean_lag_1,父级均值前1小时,空间邻域特征,130.86741638183594,1.6248866695914188
is_late_night,深夜标识,时间日历特征,126.3526840209961,1.568830482094774
parent_total_lag_24,父级总量前24小时,空间邻域特征,124.19498443603516,1.542039876843148
parent_total_lag_1,父级总量前1小时,空间邻域特征,106.8759307861328,1.3270016329188115
weekday_mean_count,星期历史均值,统计编码特征,102.9158706665039,1.2778324120610312
rain,降雨量,天气外部特征,98.78072357177734,1.2264892620486842
precipitation,降水量,天气外部特征,89.0541763305664,1.1057217143247997
lag_24,前一天同小时,历史订单特征,83.2413330078125,1.0335478158197071
rolling_std_48,48小时滚动波动,历史订单特征,78.35397338867188,0.9728649834218388
humidity,湿度,天气外部特征,73.99527740478516,0.9187461874921119
day_cos,周周期cos,时间日历特征,72.65786743164062,0.9021405289009731
weather_code,天气代码,天气外部特征,71.77289581298828,0.8911524722412519
rolling_max_48,48小时滚动最大值,历史订单特征,71.38316345214844,0.8863134455733047
parent_mean_rolling_24,父级24小时滚动均值,空间邻域特征,69.8445816040039,0.8672099803697816
rolling_mean_12,12小时滚动均值,历史订单特征,69.46858978271484,0.8625415601076636
is_humid,高湿标识,天气外部特征,68.76656341552734,0.8538250031733052
rolling_std_24,24小时滚动波动,历史订单特征,68.48477935791016,0.8503262930162283
wind_speed,风速,天气外部特征,68.38899993896484,0.849137068797028
day_sin,周周期sin,时间日历特征,68.02566528320312,0.8446258034639886
temperature,温度,天气外部特征,67.9624252319336,0.8438405971908524
rolling_max_24,24小时滚动最大值,历史订单特征,67.83126831054688,0.8422121159456499
lag_2,前2小时,历史订单特征,67.19664764404297,0.8343324871598206
is_hot,高温标识,天气外部特征,66.42603302001953,0.8247643191269589
rolling_mean_6,6小时滚动均值,历史订单特征,66.07417297363281,0.8203955257730241
hour,小时,时间日历特征,65.83914184570312,0.81747731314783
apparent_temperature,体感温度,天气外部特征,64.55915832519531,0.8015846775531802
lag_48,前48小时,历史订单特征,62.903533935546875,0.7810279792170497
lag_1,前1小时,历史订单特征,62.342472076416016,0.7740616772839701
cloud_cover,云量,天气外部特征,61.37761688232422,0.7620817636713147
weather_cloudy,多云,天气外部特征,57.78474807739258,0.7174716935092313
time_cos,小时周期cos,时间日历特征,56.7859001159668,0.7050697161313499
lag_3,前3小时,历史订单特征,55.03778839111328,0.6833646690141733
weather_drizzle,毛毛雨,天气外部特征,54.68882751464844,0.6790318725698524
parent_mean_count_train,父级网格历史均值,空间邻域特征,54.43348693847656,0.6758614921199404
time_sin,小时周期sin,时间日历特征,49.41839218139648,0.6135926643030851
day_of_month,月内日期,时间日历特征,47.018775939941406,0.5837983537659315
is_rush_hour,高峰标识,时间日历特征,45.17071914672851,0.5608523605541614
weekday,星期,时间日历特征,44.761756896972656,0.555774570173892
weather_clear,晴朗,天气外部特征,41.82648849487305,0.5193294516706849
center_lon,中心经度,空间位置特征,39.34627532958984,0.4885344270462575
week_of_month,月内周序号,时间日历特征,30.74711227416992,0.3817647986337399
center_lat,中心纬度,空间位置特征,28.556196212768555,0.3545617682630805
weekend,周末,时间日历特征,17.74216651916504,0.22029173237857128
