feature,gain
lag_1,167082.4375
lag_168,103461.8828125
rolling_mean_3,27139.587890625
lag_24,17772.6171875
holiday_mean_count,5668.9248046875
h3_mean_count,5501.27783203125
weekday_mean_count,5391.29052734375
rolling_mean_24,5227.091796875
hour_mean_count,4617.1357421875
time_cos,4241.51025390625
is_holiday,4036.71484375
weekend,3525.76318359375
parent_total_lag_1,3247.045654296875
is_month_end,2946.57763671875
time_sin,2878.6826171875
rolling_max_24,2866.987060546875
day_cos,2747.7265625
day_sin,2563.62841796875
is_late_night,2544.6748046875
lag_48,2454.008544921875
day_of_month,2327.2978515625
is_rush_hour,2286.3046875
parent_total_lag_24,2216.408935546875
rolling_mean_6,2196.237060546875
lag_2,2024.500732421875
parent_mean_count_train,1991.0086669921875
rolling_mean_48,1933.630859375
lag_3,1718.0040283203125
parent_mean_lag_1,1689.576171875
hour,1677.19775390625
parent_mean_rolling_24,1646.0035400390625
weekday,1625.1641845703125
rolling_std_24,1606.4097900390625
rolling_std_48,1588.6531982421875
rolling_mean_12,1547.682861328125
rolling_max_48,1502.4339599609375
is_month_start,1406.9190673828125
center_lon,1325.1097412109375
week_of_month,1266.2515869140625
center_lat,973.1751708984375
