feature,gain
emb_12,5998.6103515625
emb_0,3901.487548828125
emb_26,2879.583740234375
emb_18,1235.0211181640625
h3_mean_count,838.1698608398438
emb_19,639.7508544921875
emb_11,519.284912109375
emb_31,207.58865356445312
rain,198.9641571044922
is_hot,197.5749969482422
emb_27,184.80406188964844
hour_mean_count,155.3704071044922
emb_23,152.15000915527344
rolling_mean_48,150.69125366210938
emb_10,126.4814682006836
lag_168,123.20342254638672
emb_24,117.01417541503906
emb_28,113.4082260131836
emb_30,112.61636352539062
emb_6,105.93373107910156
precipitation,101.27366638183594
emb_2,99.54185485839844
parent_total_lag_24,95.96017456054688
emb_22,95.00730895996094
humidity,92.66487121582031
emb_25,91.05291748046875
temperature,88.04595947265625
rolling_mean_24,85.93486022949219
wind_speed,85.90879821777344
apparent_temperature,84.85047912597656
weather_code,84.75826263427734
parent_mean_rolling_24,84.71536254882812
emb_8,84.51077270507812
emb_13,84.04969787597656
rolling_max_48,83.89695739746094
rolling_std_48,83.05692291259766
parent_mean_lag_1,82.17022705078125
cloud_cover,80.89473724365234
rolling_mean_12,80.40679931640625
rolling_std_24,80.03003692626953
emb_29,79.5667724609375
weather_drizzle,79.32889556884766
is_humid,79.23578643798828
emb_9,77.07810974121094
day_cos,76.96097564697266
emb_14,76.7800064086914
emb_7,76.28300476074219
parent_total_lag_1,76.20293426513672
lag_48,75.23410034179688
emb_15,74.33338928222656
rolling_max_24,73.31086730957031
emb_20,72.69384002685547
emb_21,72.55631256103516
emb_3,72.26763153076172
day_sin,71.39845275878906
emb_1,71.27802276611328
weather_cloudy,70.96121978759766
weekday_mean_count,70.68415832519531
emb_4,70.59931945800781
rolling_mean_3,69.63601684570312
rolling_mean_6,69.16487884521484
lag_3,66.94967651367188
lag_2,65.99740600585938
time_cos,65.01305389404297
emb_16,63.09221649169922
weather_clear,62.783958435058594
emb_17,58.98209762573242
emb_5,58.62371826171875
lag_24,58.565528869628906
parent_mean_count_train,56.34269332885742
time_sin,55.257198333740234
lag_1,53.49205780029297
day_of_month,41.73569869995117
center_lon,38.879112243652344
week_of_month,38.493560791015625
hour,35.20054626464844
is_rush_hour,30.846508026123047
weekday,30.173208236694336
center_lat,26.822528839111328
weekend,17.360124588012695
is_late_night,13.156729698181152
