temperature,apparent_temperature,precipitation,rain,cloud_cover,wind_speed,humidity,weather_code,time_slot,weather_clear,weather_cloudy,weather_fog,weather_drizzle,weather_rain,weather_snow,weather_thunder,is_precipitating,is_hot,is_humid
23.1,24.7,0.0,0.0,0,8.4,72,0,2015-08-01 00:00:00,1,0,0,0,0,0,0,0,0,0
22.5,23.8,0.0,0.0,1,10.2,75,0,2015-08-01 01:00:00,1,0,0,0,0,0,0,0,0,0
22.3,23.3,0.0,0.0,3,12.0,75,0,2015-08-01 02:00:00,1,0,0,0,0,0,0,0,0,0
22.0,22.5,0.0,0.0,7,12.2,71,0,2015-08-01 03:00:00,1,0,0,0,0,0,0,0,0,0
21.9,22.3,0.0,0.0,17,12.6,71,0,2015-08-01 04:00:00,1,0,0,0,0,0,0,0,0,0
21.8,22.1,0.0,0.0,26,12.6,71,1,2015-08-01 05:00:00,1,0,0,0,0,0,0,0,0,0
21.5,22.7,0.0,0.0,13,7.1,73,0,2015-08-01 06:00:00,1,0,0,0,0,0,0,0,0,0
21.8,22.9,0.0,0.0,2,9.2,73,0,2015-08-01 07:00:00,1,0,0,0,0,0,0,0,0,0
23.8,24.7,0.0,0.0,8,8.7,64,0,2015-08-01 08:00:00,1,0,0,0,0,0,0,0,0,0
25.4,26.1,0.0,0.0,39,10.0,57,1,2015-08-01 09:00:00,1,0,0,0,0,0,0,0,0,0
26.8,27.3,0.0,0.0,42,11.4,53,1,2015-08-01 10:00:00,1,0,0,0,0,0,0,0,0,0
28.3,28.9,0.0,0.0,36,12.5,48,1,2015-08-01 11:00:00,1,0,0,0,0,0,0,0,0,0
29.6,30.6,0.0,0.0,27,14.1,43,1,2015-08-01 12:00:00,1,0,0,0,0,0,0,0,0,0
29.2,29.4,0.4,0.4,29,15.4,43,51,2015-08-01 13:00:00,0,0,0,1,0,0,0,1,0,0
28.8,28.0,0.3,0.3,23,17.0,42,51,2015-08-01 14:00:00,0,0,0,1,0,0,0,1,0,0
29.8,28.2,0.0,0.0,28,16.6,34,1,2015-08-01 15:00:00,1,0,0,0,0,0,0,0,0,0
30.3,29.1,0.0,0.0,38,16.2,32,1,2015-08-01 16:00:00,1,0,0,0,0,0,0,0,1,0
30.0,28.4,0.0,0.0,41,14.6,33,1,2015-08-01 17:00:00,1,0,0,0,0,0,0,0,1,0
29.7,28.6,0.0,0.0,28,11.4,33,1,2015-08-01 18:00:00,1,0,0,0,0,0,0,0,0,0
